1, 5.17
2, 2.51
3, 5.21
4, 3.22
5, 3.08
6, 5.54
7, 8.90
8, 6.40
9, 5.77
10, 5.05
11, 5.04
12, 5.04
13, 5.02
14, 5.05
15, 5.02
16, 5.04
